款号,系列名,母版名,甲型,长度,主色,辅助色,工艺,元素,风格,场景,目标用户,包装主色,英文卖点,中文卖点,图片路径,打样状态,成本,建议售价,设计感评分,商业感评分,生产难度评分,包装匹配评分,视频表现评分,综合评分,复盘备注
ND08-002,Burgundy Night 酒红夜色系列,Burgundy Master 02,杏仁,短,薰衣草紫,冰蓝,贝壳片,爱心,氛围感,旅行,新娘,浅紫,"贝壳片 finish with 爱心, 氛围感 vibe for 旅行",贝壳片工艺结合爱心元素，呈现氛围感风格，适合旅行场景,images/raw/ND08-002.jpg,待出图,24.13,69.7,9.2,6.9,7.9,9.3,8.2,8.4,
ND08-003,Burgundy Night 酒红夜色系列,Burgundy Master 03,杏仁,中,豆沙粉,浅粉,珍珠贴,碎钻,极简,派对,内容博主,银灰,"珍珠贴 finish with 碎钻, 极简 vibe for 派对",珍珠贴工艺结合碎钻元素，呈现极简风格，适合派对场景,images/raw/ND08-003.jpg,待出图,14.28,41.17,8.8,7.7,6.1,9.5,6.4,8.2,
ND08-004,Burgundy Night 酒红夜色系列,Burgundy Master 04,方圆,短,银铬,雾灰,贝壳片,珍珠,氛围感,日常,时尚用户,海盐蓝,"贝壳片 finish with 珍珠, 氛围感 vibe for 日常",贝壳片工艺结合珍珠元素，呈现氛围感风格，适合日常场景,images/raw/ND08-004.jpg,打样中,25.48,83.37,8.0,9.2,9.0,7.9,9.5,8.6,
ND08-005,Burgundy Night 酒红夜色系列,Burgundy Master 05,方圆,中,果冻橙,冰蓝,贝壳片,蝴蝶结,氛围感,旅行,白领,珠光白,"贝壳片 finish with 蝴蝶结, 氛围感 vibe for 旅行",贝壳片工艺结合蝴蝶结元素，呈现氛围感风格，适合旅行场景,images/raw/ND08-005.jpg,打样中,27.76,71.03,7.1,9.1,6.9,8.9,8.3,8.5,
ND08-006,Burgundy Night 酒红夜色系列,Burgundy Master 06,短方,中长,果冻橙,香槟金,镜面粉,星点,轻奢,婚礼,新娘,淡粉,"镜面粉 finish with 星点, 轻奢 vibe for 婚礼",镜面粉工艺结合星点元素，呈现轻奢风格，适合婚礼场景,images/raw/ND08-006.jpg,打样中,20.42,50.85,7.2,8.5,5.8,8.9,9.7,8.4,
ND08-007,Burgundy Night 酒红夜色系列,Burgundy Master 07,方圆,中长,奶油白,浅粉,珍珠贴,爱心,极简,婚礼,白领,淡粉,"珍珠贴 finish with 爱心, 极简 vibe for 婚礼",珍珠贴工艺结合爱心元素，呈现极简风格，适合婚礼场景,images/raw/ND08-007.jpg,已确认,19.48,52.97,9.6,8.3,8.8,7.0,8.9,8.6,
ND08-008,Burgundy Night 酒红夜色系列,Burgundy Master 08,方圆,中长,珍珠白,冰蓝,手绘花,爱心,极简,旅行,内容博主,浅紫,"手绘花 finish with 爱心, 极简 vibe for 旅行",手绘花工艺结合爱心元素，呈现极简风格，适合旅行场景,images/raw/ND08-008.jpg,已确认,18.56,63.25,7.1,7.8,6.5,8.7,8.0,8.0,
ND08-009,Burgundy Night 酒红夜色系列,Burgundy Master 09,椭圆,短,海盐蓝,玫瑰金,猫眼,星点,轻奢,婚礼,白领,珠光白,"猫眼 finish with 星点, 轻奢 vibe for 婚礼",猫眼工艺结合星点元素，呈现轻奢风格，适合婚礼场景,images/raw/ND08-009.jpg,可量产,30.34,80.8,7.2,8.0,7.1,6.9,8.1,7.8,
ND08-010,Burgundy Night 酒红夜色系列,Burgundy Master 10,杏仁,中长,奶油白,珠光白,渐变,爱心,高级感,日常,内容博主,米白,"渐变 finish with 爱心, 高级感 vibe for 日常",渐变工艺结合爱心元素，呈现高级感风格，适合日常场景,images/raw/ND08-010.jpg,可量产,23.03,53.54,7.7,7.8,7.0,8.5,7.2,8.0,
ND09-001,Pink Party 粉色派对系列,Pink Master 01,短方,短,樱花粉,亮银,手绘花,碎钻,通勤,派对,学生,珠光白,"手绘花 finish with 碎钻, 通勤 vibe for 派对",手绘花工艺结合碎钻元素，呈现通勤风格，适合派对场景,images/raw/ND09-001.jpg,待出图,22.46,63.8,7.0,9.2,8.3,7.2,9.0,8.2,
ND09-002,Pink Party 粉色派对系列,Pink Master 02,方圆,中长,珍珠白,浅粉,贝壳片,碎钻,高级感,拍照,白领,珠光白,"贝壳片 finish with 碎钻, 高级感 vibe for 拍照",贝壳片工艺结合碎钻元素，呈现高级感风格，适合拍照场景,images/raw/ND09-002.jpg,待出图,14.47,37.76,7.3,7.0,8.3,6.7,9.6,7.7,
ND09-003,Pink Party 粉色派对系列,Pink Master 03,短方,中,果冻橙,透明,贝壳片,碎钻,轻奢,派对,学生,浅紫,"贝壳片 finish with 碎钻, 轻奢 vibe for 派对",贝壳片工艺结合碎钻元素，呈现轻奢风格，适合派对场景,images/raw/ND09-003.jpg,待出图,22.61,60.7,7.6,6.7,7.4,7.5,7.8,7.6,
ND09-004,Pink Party 粉色派对系列,Pink Master 04,方圆,中,酒红,雾灰,渐变,爱心,极简,旅行,时尚用户,银灰,"渐变 finish with 爱心, 极简 vibe for 旅行",渐变工艺结合爱心元素，呈现极简风格，适合旅行场景,images/raw/ND09-004.jpg,打样中,33.5,97.81,9.2,8.5,6.7,8.0,6.7,8.4,
ND09-005,Pink Party 粉色派对系列,Pink Master 05,方圆,中,珍珠白,珠光白,渐变,珍珠,通勤,约会,内容博主,浅紫,"渐变 finish with 珍珠, 通勤 vibe for 约会",渐变工艺结合珍珠元素，呈现通勤风格，适合约会场景,images/raw/ND09-005.jpg,打样中,24.58,78.06,7.9,9.3,6.9,9.0,8.6,8.8,
ND09-006,Pink Party 粉色派对系列,Pink Master 06,方圆,中长,樱花粉,雾灰,贝壳片,蝴蝶结,氛围感,通勤,内容博主,淡粉,"贝壳片 finish with 蝴蝶结, 氛围感 vibe for 通勤",贝壳片工艺结合蝴蝶结元素，呈现氛围感风格，适合通勤场景,images/raw/ND09-006.jpg,打样中,18.05,64.3,9.7,8.4,6.1,6.8,8.6,8.6,
ND09-007,Pink Party 粉色派对系列,Pink Master 07,椭圆,中,银铬,亮银,渐变,水波纹,氛围感,派对,新娘,珠光白,"渐变 finish with 水波纹, 氛围感 vibe for 派对",渐变工艺结合水波纹元素，呈现氛围感风格，适合派对场景,images/raw/ND09-007.jpg,已确认,28.08,99.02,9.0,8.6,7.4,8.6,7.7,8.7,
ND09-008,Pink Party 粉色派对系列,Pink Master 08,椭圆,短,樱花粉,冰蓝,法式描边,金箔,甜美,拍照,内容博主,珠光白,"法式描边 finish with 金箔, 甜美 vibe for 拍照",法式描边工艺结合金箔元素，呈现甜美风格，适合拍照场景,images/raw/ND09-008.jpg,已确认,17.44,42.21,7.0,9.1,5.9,9.0,9.2,8.5,
ND09-009,Pink Party 粉色派对系列,Pink Master 09,芭蕾,短,樱花粉,亮银,珍珠贴,珍珠,轻奢,约会,时尚用户,珠光白,"珍珠贴 finish with 珍珠, 轻奢 vibe for 约会",珍珠贴工艺结合珍珠元素，呈现轻奢风格，适合约会场景,images/raw/ND09-009.jpg,可量产,29.31,66.53,7.9,8.7,9.1,8.5,8.9,8.4,
ND09-010,Pink Party 粉色派对系列,Pink Master 10,短方,短,奶油白,浅粉,镜面粉,几何线条,轻奢,婚礼,时尚用户,浅紫,"镜面粉 finish with 几何线条, 轻奢 vibe for 婚礼",镜面粉工艺结合几何线条元素，呈现轻奢风格，适合婚礼场景,images/raw/ND09-010.jpg,可量产,23.08,61.18,7.9,8.1,9.1,9.1,9.1,8.4,
ND10-001,Minimal Office 极简通勤系列,Minimal Master 01,杏仁,中,奶茶裸,透明,贝壳片,蝴蝶结,高级感,拍照,时尚用户,米白,"贝壳片 finish with 蝴蝶结, 高级感 vibe for 拍照",贝壳片工艺结合蝴蝶结元素，呈现高级感风格，适合拍照场景,images/raw/ND10-001.jpg,待出图,18.84,64.45,7.6,9.3,6.0,7.9,9.6,8.6,
ND10-002,Minimal Office 极简通勤系列,Minimal Master 02,杏仁,中,樱花粉,香槟金,珍珠贴,星点,极简,旅行,新娘,珠光白,"珍珠贴 finish with 星点, 极简 vibe for 旅行",珍珠贴工艺结合星点元素，呈现极简风格，适合旅行场景,images/raw/ND10-002.jpg,待出图,21.27,49.57,7.5,7.5,5.9,8.8,7.4,7.8,
ND10-003,Minimal Office 极简通勤系列,Minimal Master 03,杏仁,短,奶茶裸,冰蓝,手绘花,珍珠,高级感,派对,内容博主,海盐蓝,"手绘花 finish with 珍珠, 高级感 vibe for 派对",手绘花工艺结合珍珠元素，呈现高级感风格，适合派对场景,images/raw/ND10-003.jpg,待出图,12.13,28.22,7.6,9.1,7.5,8.8,8.1,8.5,
ND10-004,Minimal Office 极简通勤系列,Minimal Master 04,方圆,中,海盐蓝,冰蓝,渐变,星点,轻奢,派对,时尚用户,浅紫,"渐变 finish with 星点, 轻奢 vibe for 派对",渐变工艺结合星点元素，呈现轻奢风格，适合派对场景,images/raw/ND10-004.jpg,打样中,13.51,47.81,8.3,8.2,7.8,8.3,8.8,8.5,
ND10-005,Minimal Office 极简通勤系列,Minimal Master 05,椭圆,中,奶茶裸,珠光白,立体滴胶,爱心,轻奢,通勤,学生,海盐蓝,"立体滴胶 finish with 爱心, 轻奢 vibe for 通勤",立体滴胶工艺结合爱心元素，呈现轻奢风格，适合通勤场景,images/raw/ND10-005.jpg,打样中,35.39,81.69,8.4,8.1,9.2,8.3,7.6,8.1,
ND10-006,Minimal Office 极简通勤系列,Minimal Master 06,短方,短,银铬,珠光白,镜面粉,星点,甜美,拍照,学生,淡粉,"镜面粉 finish with 星点, 甜美 vibe for 拍照",镜面粉工艺结合星点元素，呈现甜美风格，适合拍照场景,images/raw/ND10-006.jpg,打样中,17.79,57.84,7.1,8.3,8.3,6.9,7.5,7.7,
ND10-007,Minimal Office 极简通勤系列,Minimal Master 07,椭圆,中长,薰衣草紫,透明,手绘花,珍珠,轻奢,日常,内容博主,米白,"手绘花 finish with 珍珠, 轻奢 vibe for 日常",手绘花工艺结合珍珠元素，呈现轻奢风格，适合日常场景,images/raw/ND10-007.jpg,已确认,19.04,43.22,7.4,6.6,9.0,8.1,9.8,7.8,
ND10-008,Minimal Office 极简通勤系列,Minimal Master 08,芭蕾,中,酒红,香槟金,立体滴胶,水波纹,甜美,拍照,学生,银灰,"立体滴胶 finish with 水波纹, 甜美 vibe for 拍照",立体滴胶工艺结合水波纹元素，呈现甜美风格，适合拍照场景,images/raw/ND10-008.jpg,已确认,19.97,47.91,7.9,9.3,8.3,9.4,7.6,8.6,
ND10-009,Minimal Office 极简通勤系列,Minimal Master 09,杏仁,中,豆沙粉,珠光白,镜面粉,蝴蝶结,高级感,派对,学生,浅紫,"镜面粉 finish with 蝴蝶结, 高级感 vibe for 派对",镜面粉工艺结合蝴蝶结元素，呈现高级感风格，适合派对场景,images/raw/ND10-009.jpg,可量产,26.46,93.03,8.4,7.5,5.8,8.6,7.3,8.0,
ND10-010,Minimal Office 极简通勤系列,Minimal Master 10,芭蕾,中长,银铬,亮银,手绘花,碎钻,极简,日常,新娘,海盐蓝,"手绘花 finish with 碎钻, 极简 vibe for 日常",手绘花工艺结合碎钻元素，呈现极简风格，适合日常场景,images/raw/ND10-010.jpg,可量产,35.96,94.91,9.7,9.4,5.8,8.5,7.5,8.9,
ND11-001,Chrome City 都市铬光系列,Chrome Master 01,杏仁,短,薰衣草紫,透明,猫眼,珍珠,通勤,约会,新娘,淡粉,"猫眼 finish with 珍珠, 通勤 vibe for 约会",猫眼工艺结合珍珠元素，呈现通勤风格，适合约会场景,images/raw/ND11-001.jpg,待出图,21.19,65.85,8.6,8.6,9.0,7.7,8.9,8.5,
ND11-002,Chrome City 都市铬光系列,Chrome Master 02,芭蕾,短,奶油白,珠光白,珍珠贴,碎钻,高级感,婚礼,白领,米白,"珍珠贴 finish with 碎钻, 高级感 vibe for 婚礼",珍珠贴工艺结合碎钻元素，呈现高级感风格，适合婚礼场景,images/raw/ND11-002.jpg,待出图,12.62,31.52,8.4,9.3,5.9,9.0,8.7,8.8,
ND11-003,Chrome City 都市铬光系列,Chrome Master 03,杏仁,中长,酒红,透明,立体滴胶,蝴蝶结,轻奢,拍照,学生,浅紫,"立体滴胶 finish with 蝴蝶结, 轻奢 vibe for 拍照",立体滴胶工艺结合蝴蝶结元素，呈现轻奢风格，适合拍照场景,images/raw/ND11-003.jpg,待出图,16.14,53.93,9.8,9.0,9.1,9.7,8.6,9.2,
ND11-004,Chrome City 都市铬光系列,Chrome Master 04,方圆,中长,奶油白,冰蓝,镜面粉,珍珠,高级感,通勤,白领,淡粉,"镜面粉 finish with 珍珠, 高级感 vibe for 通勤",镜面粉工艺结合珍珠元素，呈现高级感风格，适合通勤场景,images/raw/ND11-004.jpg,打样中,24.21,57.96,7.4,6.9,8.4,6.6,8.2,7.4,
ND11-005,Chrome City 都市铬光系列,Chrome Master 05,椭圆,中,奶油白,亮银,渐变,蝴蝶结,甜美,派对,内容博主,海盐蓝,"渐变 finish with 蝴蝶结, 甜美 vibe for 派对",渐变工艺结合蝴蝶结元素，呈现甜美风格，适合派对场景,images/raw/ND11-005.jpg,打样中,21.86,62.41,8.5,6.9,6.7,6.7,7.9,7.8,
ND11-006,Chrome City 都市铬光系列,Chrome Master 06,芭蕾,中,薰衣草紫,亮银,法式描边,爱心,氛围感,拍照,学生,米白,"法式描边 finish with 爱心, 氛围感 vibe for 拍照",法式描边工艺结合爱心元素，呈现氛围感风格，适合拍照场景,images/raw/ND11-006.jpg,打样中,24.43,65.63,7.3,9.4,6.3,9.5,8.1,8.6,
ND11-007,Chrome City 都市铬光系列,Chrome Master 07,椭圆,短,酒红,浅粉,镜面粉,珍珠,高级感,婚礼,时尚用户,海盐蓝,"镜面粉 finish with 珍珠, 高级感 vibe for 婚礼",镜面粉工艺结合珍珠元素，呈现高级感风格，适合婚礼场景,images/raw/ND11-007.jpg,已确认,14.24,45.93,8.6,8.3,6.1,8.5,9.4,8.7,
ND11-008,Chrome City 都市铬光系列,Chrome Master 08,椭圆,中长,奶茶裸,香槟金,渐变,星点,高级感,拍照,时尚用户,淡粉,"渐变 finish with 星点, 高级感 vibe for 拍照",渐变工艺结合星点元素，呈现高级感风格，适合拍照场景,images/raw/ND11-008.jpg,已确认,27.63,94.69,8.0,8.5,7.3,8.5,7.2,8.3,
ND11-009,Chrome City 都市铬光系列,Chrome Master 09,椭圆,中,海盐蓝,玫瑰金,镜面粉,几何线条,通勤,通勤,学生,珠光白,"镜面粉 finish with 几何线条, 通勤 vibe for 通勤",镜面粉工艺结合几何线条元素，呈现通勤风格，适合通勤场景,images/raw/ND11-009.jpg,可量产,22.55,67.08,7.4,8.4,6.7,8.8,8.8,8.4,
ND11-010,Chrome City 都市铬光系列,Chrome Master 10,椭圆,中,薰衣草紫,珠光白,渐变,碎钻,轻奢,派对,学生,淡粉,"渐变 finish with 碎钻, 轻奢 vibe for 派对",渐变工艺结合碎钻元素，呈现轻奢风格，适合派对场景,images/raw/ND11-010.jpg,可量产,22.79,55.27,7.0,9.4,8.7,7.8,9.7,8.4,
ND12-001,Vacation Mani 度假手足系列,Vacation Master 01,杏仁,中,果冻橙,珠光白,立体滴胶,珍珠,极简,旅行,内容博主,浅紫,"立体滴胶 finish with 珍珠, 极简 vibe for 旅行",立体滴胶工艺结合珍珠元素，呈现极简风格，适合旅行场景,images/raw/ND12-001.jpg,待出图,33.1,99.16,7.1,7.7,7.2,7.3,8.3,7.8,
ND12-002,Vacation Mani 度假手足系列,Vacation Master 02,方圆,短,酒红,透明,手绘花,水波纹,氛围感,日常,学生,浅紫,"手绘花 finish with 水波纹, 氛围感 vibe for 日常",手绘花工艺结合水波纹元素，呈现氛围感风格，适合日常场景,images/raw/ND12-002.jpg,待出图,15.21,39.9,7.9,7.8,5.7,6.7,8.2,7.8,
ND12-003,Vacation Mani 度假手足系列,Vacation Master 03,椭圆,中长,酒红,雾灰,珍珠贴,几何线条,氛围感,婚礼,时尚用户,银灰,"珍珠贴 finish with 几何线条, 氛围感 vibe for 婚礼",珍珠贴工艺结合几何线条元素，呈现氛围感风格，适合婚礼场景,images/raw/ND12-003.jpg,待出图,26.67,64.16,7.1,7.7,9.2,8.3,7.5,7.6,
ND12-004,Vacation Mani 度假手足系列,Vacation Master 04,杏仁,短,果冻橙,玫瑰金,猫眼,星点,通勤,约会,新娘,浅紫,"猫眼 finish with 星点, 通勤 vibe for 约会",猫眼工艺结合星点元素，呈现通勤风格，适合约会场景,images/raw/ND12-004.jpg,打样中,24.46,59.64,9.5,6.9,8.9,7.5,7.6,8.0,
ND12-005,Vacation Mani 度假手足系列,Vacation Master 05,芭蕾,中长,酒红,珠光白,手绘花,水波纹,极简,拍照,学生,淡粉,"手绘花 finish with 水波纹, 极简 vibe for 拍照",手绘花工艺结合水波纹元素，呈现极简风格，适合拍照场景,images/raw/ND12-005.jpg,打样中,19.95,47.39,8.0,7.5,8.8,9.3,8.5,8.2,
ND12-006,Vacation Mani 度假手足系列,Vacation Master 06,芭蕾,中,酒红,浅粉,猫眼,几何线条,轻奢,旅行,时尚用户,浅紫,"猫眼 finish with 几何线条, 轻奢 vibe for 旅行",猫眼工艺结合几何线条元素，呈现轻奢风格，适合旅行场景,images/raw/ND12-006.jpg,打样中,15.55,51.15,6.9,9.4,5.9,6.6,7.3,7.8,
ND12-007,Vacation Mani 度假手足系列,Vacation Master 07,杏仁,中,海盐蓝,玫瑰金,手绘花,星点,高级感,约会,时尚用户,珠光白,"手绘花 finish with 星点, 高级感 vibe for 约会",手绘花工艺结合星点元素，呈现高级感风格，适合约会场景,images/raw/ND12-007.jpg,已确认,25.46,96.67,8.2,7.7,9.0,8.0,8.1,8.0,
ND12-008,Vacation Mani 度假手足系列,Vacation Master 08,芭蕾,中,酒红,透明,立体滴胶,金箔,甜美,旅行,新娘,珠光白,"立体滴胶 finish with 金箔, 甜美 vibe for 旅行",立体滴胶工艺结合金箔元素，呈现甜美风格，适合旅行场景,images/raw/ND12-008.jpg,已确认,34.6,130.5,9.1,8.7,8.1,8.1,7.9,8.6,
ND12-009,Vacation Mani 度假手足系列,Vacation Master 09,芭蕾,中长,酒红,冰蓝,渐变,爱心,极简,拍照,新娘,珠光白,"渐变 finish with 爱心, 极简 vibe for 拍照",渐变工艺结合爱心元素，呈现极简风格，适合拍照场景,images/raw/ND12-009.jpg,可量产,18.97,50.46,8.9,7.6,7.1,7.3,7.9,8.2,
ND12-010,Vacation Mani 度假手足系列,Vacation Master 10,杏仁,中长,酒红,冰蓝,法式描边,蝴蝶结,氛围感,通勤,时尚用户,珠光白,"法式描边 finish with 蝴蝶结, 氛围感 vibe for 通勤",法式描边工艺结合蝴蝶结元素，呈现氛围感风格，适合通勤场景,images/raw/ND12-010.jpg,可量产,17.82,58.3,8.4,8.5,5.7,7.8,8.8,8.4,
