款号,Midjourney提示词,包装提示词,Runway视频提示词
ND04-001,"Premium press-on nail design, SKU ND04-001, collection Lavender Galaxy 薰衣草星河系列, 椭圆 shape, 中长 length, main color 豆沙粉, secondary color 浅粉, technique 镜面粉, detail 几何线条, 通勤 aesthetics, for 通勤, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-001, primary package color 珠光白, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '镜面粉 finish with 几何线条, 通勤 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-001. Start with macro close-up of 镜面粉 detail, transition to hand movement in 通勤 context, highlight 豆沙粉 and 浅粉, show packaging in 珠光白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 几何线条, 通勤 vibe for 通勤"
ND04-002,"Premium press-on nail design, SKU ND04-002, collection Lavender Galaxy 薰衣草星河系列, 方圆 shape, 中 length, main color 银铬, secondary color 珠光白, technique 手绘花, detail 爱心, 通勤 aesthetics, for 约会, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-002, primary package color 浅紫, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '手绘花 finish with 爱心, 通勤 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-002. Start with macro close-up of 手绘花 detail, transition to hand movement in 约会 context, highlight 银铬 and 珠光白, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 爱心, 通勤 vibe for 约会"
ND04-003,"Premium press-on nail design, SKU ND04-003, collection Lavender Galaxy 薰衣草星河系列, 椭圆 shape, 中 length, main color 银铬, secondary color 玫瑰金, technique 立体滴胶, detail 几何线条, 轻奢 aesthetics, for 婚礼, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-003, primary package color 浅紫, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '立体滴胶 finish with 几何线条, 轻奢 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-003. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 婚礼 context, highlight 银铬 and 玫瑰金, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 几何线条, 轻奢 vibe for 婚礼"
ND04-004,"Premium press-on nail design, SKU ND04-004, collection Lavender Galaxy 薰衣草星河系列, 芭蕾 shape, 中长 length, main color 奶茶裸, secondary color 玫瑰金, technique 猫眼, detail 蝴蝶结, 高级感 aesthetics, for 派对, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-004, primary package color 浅紫, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '猫眼 finish with 蝴蝶结, 高级感 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-004. Start with macro close-up of 猫眼 detail, transition to hand movement in 派对 context, highlight 奶茶裸 and 玫瑰金, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 猫眼 finish with 蝴蝶结, 高级感 vibe for 派对"
ND04-005,"Premium press-on nail design, SKU ND04-005, collection Lavender Galaxy 薰衣草星河系列, 短方 shape, 中 length, main color 珍珠白, secondary color 透明, technique 猫眼, detail 星点, 甜美 aesthetics, for 约会, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-005, primary package color 银灰, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '猫眼 finish with 星点, 甜美 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-005. Start with macro close-up of 猫眼 detail, transition to hand movement in 约会 context, highlight 珍珠白 and 透明, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 猫眼 finish with 星点, 甜美 vibe for 约会"
ND04-006,"Premium press-on nail design, SKU ND04-006, collection Lavender Galaxy 薰衣草星河系列, 方圆 shape, 中长 length, main color 海盐蓝, secondary color 透明, technique 镜面粉, detail 碎钻, 轻奢 aesthetics, for 旅行, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-006, primary package color 银灰, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '镜面粉 finish with 碎钻, 轻奢 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-006. Start with macro close-up of 镜面粉 detail, transition to hand movement in 旅行 context, highlight 海盐蓝 and 透明, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 碎钻, 轻奢 vibe for 旅行"
ND04-007,"Premium press-on nail design, SKU ND04-007, collection Lavender Galaxy 薰衣草星河系列, 短方 shape, 中 length, main color 海盐蓝, secondary color 雾灰, technique 立体滴胶, detail 蝴蝶结, 高级感 aesthetics, for 拍照, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-007, primary package color 银灰, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '立体滴胶 finish with 蝴蝶结, 高级感 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-007. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 拍照 context, highlight 海盐蓝 and 雾灰, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 蝴蝶结, 高级感 vibe for 拍照"
ND04-008,"Premium press-on nail design, SKU ND04-008, collection Lavender Galaxy 薰衣草星河系列, 芭蕾 shape, 中长 length, main color 樱花粉, secondary color 香槟金, technique 珍珠贴, detail 几何线条, 通勤 aesthetics, for 派对, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-008, primary package color 银灰, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '珍珠贴 finish with 几何线条, 通勤 vibe for 派对', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-008. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 派对 context, highlight 樱花粉 and 香槟金, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 几何线条, 通勤 vibe for 派对"
ND04-009,"Premium press-on nail design, SKU ND04-009, collection Lavender Galaxy 薰衣草星河系列, 芭蕾 shape, 中 length, main color 豆沙粉, secondary color 玫瑰金, technique 镜面粉, detail 碎钻, 轻奢 aesthetics, for 拍照, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-009, primary package color 淡粉, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '镜面粉 finish with 碎钻, 轻奢 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-009. Start with macro close-up of 镜面粉 detail, transition to hand movement in 拍照 context, highlight 豆沙粉 and 玫瑰金, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 碎钻, 轻奢 vibe for 拍照"
ND04-010,"Premium press-on nail design, SKU ND04-010, collection Lavender Galaxy 薰衣草星河系列, 杏仁 shape, 中 length, main color 海盐蓝, secondary color 珠光白, technique 镜面粉, detail 碎钻, 甜美 aesthetics, for 旅行, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND04-010, primary package color 海盐蓝, visual language from Lavender Galaxy 薰衣草星河系列, include hook line: '镜面粉 finish with 碎钻, 甜美 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND04-010. Start with macro close-up of 镜面粉 detail, transition to hand movement in 旅行 context, highlight 海盐蓝 and 珠光白, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 碎钻, 甜美 vibe for 旅行"
ND05-001,"Premium press-on nail design, SKU ND05-001, collection Bridal Soft White 婚礼柔白系列, 短方 shape, 中 length, main color 奶茶裸, secondary color 雾灰, technique 镜面粉, detail 金箔, 极简 aesthetics, for 通勤, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-001, primary package color 淡粉, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '镜面粉 finish with 金箔, 极简 vibe for 通勤', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-001. Start with macro close-up of 镜面粉 detail, transition to hand movement in 通勤 context, highlight 奶茶裸 and 雾灰, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 金箔, 极简 vibe for 通勤"
ND05-002,"Premium press-on nail design, SKU ND05-002, collection Bridal Soft White 婚礼柔白系列, 短方 shape, 中 length, main color 酒红, secondary color 冰蓝, technique 立体滴胶, detail 蝴蝶结, 高级感 aesthetics, for 约会, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-002, primary package color 米白, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '立体滴胶 finish with 蝴蝶结, 高级感 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-002. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 约会 context, highlight 酒红 and 冰蓝, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 蝴蝶结, 高级感 vibe for 约会"
ND05-003,"Premium press-on nail design, SKU ND05-003, collection Bridal Soft White 婚礼柔白系列, 芭蕾 shape, 中长 length, main color 酒红, secondary color 雾灰, technique 立体滴胶, detail 水波纹, 轻奢 aesthetics, for 婚礼, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-003, primary package color 淡粉, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '立体滴胶 finish with 水波纹, 轻奢 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-003. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 婚礼 context, highlight 酒红 and 雾灰, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 水波纹, 轻奢 vibe for 婚礼"
ND05-004,"Premium press-on nail design, SKU ND05-004, collection Bridal Soft White 婚礼柔白系列, 短方 shape, 短 length, main color 奶茶裸, secondary color 冰蓝, technique 手绘花, detail 几何线条, 极简 aesthetics, for 婚礼, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-004, primary package color 米白, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '手绘花 finish with 几何线条, 极简 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-004. Start with macro close-up of 手绘花 detail, transition to hand movement in 婚礼 context, highlight 奶茶裸 and 冰蓝, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 几何线条, 极简 vibe for 婚礼"
ND05-005,"Premium press-on nail design, SKU ND05-005, collection Bridal Soft White 婚礼柔白系列, 杏仁 shape, 短 length, main color 果冻橙, secondary color 冰蓝, technique 渐变, detail 金箔, 通勤 aesthetics, for 旅行, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-005, primary package color 海盐蓝, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '渐变 finish with 金箔, 通勤 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-005. Start with macro close-up of 渐变 detail, transition to hand movement in 旅行 context, highlight 果冻橙 and 冰蓝, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 金箔, 通勤 vibe for 旅行"
ND05-006,"Premium press-on nail design, SKU ND05-006, collection Bridal Soft White 婚礼柔白系列, 短方 shape, 中 length, main color 果冻橙, secondary color 香槟金, technique 渐变, detail 金箔, 高级感 aesthetics, for 约会, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-006, primary package color 银灰, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '渐变 finish with 金箔, 高级感 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-006. Start with macro close-up of 渐变 detail, transition to hand movement in 约会 context, highlight 果冻橙 and 香槟金, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 金箔, 高级感 vibe for 约会"
ND05-007,"Premium press-on nail design, SKU ND05-007, collection Bridal Soft White 婚礼柔白系列, 方圆 shape, 短 length, main color 酒红, secondary color 冰蓝, technique 手绘花, detail 蝴蝶结, 高级感 aesthetics, for 约会, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-007, primary package color 银灰, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '手绘花 finish with 蝴蝶结, 高级感 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-007. Start with macro close-up of 手绘花 detail, transition to hand movement in 约会 context, highlight 酒红 and 冰蓝, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 蝴蝶结, 高级感 vibe for 约会"
ND05-008,"Premium press-on nail design, SKU ND05-008, collection Bridal Soft White 婚礼柔白系列, 杏仁 shape, 短 length, main color 奶茶裸, secondary color 亮银, technique 镜面粉, detail 水波纹, 极简 aesthetics, for 日常, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-008, primary package color 银灰, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '镜面粉 finish with 水波纹, 极简 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-008. Start with macro close-up of 镜面粉 detail, transition to hand movement in 日常 context, highlight 奶茶裸 and 亮银, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 镜面粉 finish with 水波纹, 极简 vibe for 日常"
ND05-009,"Premium press-on nail design, SKU ND05-009, collection Bridal Soft White 婚礼柔白系列, 椭圆 shape, 中长 length, main color 酒红, secondary color 香槟金, technique 渐变, detail 金箔, 高级感 aesthetics, for 拍照, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-009, primary package color 海盐蓝, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '渐变 finish with 金箔, 高级感 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-009. Start with macro close-up of 渐变 detail, transition to hand movement in 拍照 context, highlight 酒红 and 香槟金, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 金箔, 高级感 vibe for 拍照"
ND05-010,"Premium press-on nail design, SKU ND05-010, collection Bridal Soft White 婚礼柔白系列, 短方 shape, 中 length, main color 薰衣草紫, secondary color 玫瑰金, technique 手绘花, detail 蝴蝶结, 极简 aesthetics, for 婚礼, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND05-010, primary package color 淡粉, visual language from Bridal Soft White 婚礼柔白系列, include hook line: '手绘花 finish with 蝴蝶结, 极简 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND05-010. Start with macro close-up of 手绘花 detail, transition to hand movement in 婚礼 context, highlight 薰衣草紫 and 玫瑰金, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 手绘花 finish with 蝴蝶结, 极简 vibe for 婚礼"
ND06-001,"Premium press-on nail design, SKU ND06-001, collection Jelly Summer 果冻夏日系列, 芭蕾 shape, 短 length, main color 豆沙粉, secondary color 雾灰, technique 贝壳片, detail 水波纹, 甜美 aesthetics, for 日常, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-001, primary package color 海盐蓝, visual language from Jelly Summer 果冻夏日系列, include hook line: '贝壳片 finish with 水波纹, 甜美 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-001. Start with macro close-up of 贝壳片 detail, transition to hand movement in 日常 context, highlight 豆沙粉 and 雾灰, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 水波纹, 甜美 vibe for 日常"
ND06-002,"Premium press-on nail design, SKU ND06-002, collection Jelly Summer 果冻夏日系列, 短方 shape, 中长 length, main color 豆沙粉, secondary color 香槟金, technique 立体滴胶, detail 水波纹, 氛围感 aesthetics, for 约会, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-002, primary package color 浅紫, visual language from Jelly Summer 果冻夏日系列, include hook line: '立体滴胶 finish with 水波纹, 氛围感 vibe for 约会', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-002. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 约会 context, highlight 豆沙粉 and 香槟金, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 水波纹, 氛围感 vibe for 约会"
ND06-003,"Premium press-on nail design, SKU ND06-003, collection Jelly Summer 果冻夏日系列, 方圆 shape, 中长 length, main color 银铬, secondary color 雾灰, technique 立体滴胶, detail 蝴蝶结, 极简 aesthetics, for 日常, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-003, primary package color 浅紫, visual language from Jelly Summer 果冻夏日系列, include hook line: '立体滴胶 finish with 蝴蝶结, 极简 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-003. Start with macro close-up of 立体滴胶 detail, transition to hand movement in 日常 context, highlight 银铬 and 雾灰, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 立体滴胶 finish with 蝴蝶结, 极简 vibe for 日常"
ND06-004,"Premium press-on nail design, SKU ND06-004, collection Jelly Summer 果冻夏日系列, 杏仁 shape, 中 length, main color 海盐蓝, secondary color 亮银, technique 渐变, detail 水波纹, 极简 aesthetics, for 婚礼, target user 时尚用户, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-004, primary package color 淡粉, visual language from Jelly Summer 果冻夏日系列, include hook line: '渐变 finish with 水波纹, 极简 vibe for 婚礼', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-004. Start with macro close-up of 渐变 detail, transition to hand movement in 婚礼 context, highlight 海盐蓝 and 亮银, show packaging in 淡粉, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 水波纹, 极简 vibe for 婚礼"
ND06-005,"Premium press-on nail design, SKU ND06-005, collection Jelly Summer 果冻夏日系列, 芭蕾 shape, 中 length, main color 樱花粉, secondary color 珠光白, technique 珍珠贴, detail 几何线条, 甜美 aesthetics, for 拍照, target user 白领, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-005, primary package color 银灰, visual language from Jelly Summer 果冻夏日系列, include hook line: '珍珠贴 finish with 几何线条, 甜美 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-005. Start with macro close-up of 珍珠贴 detail, transition to hand movement in 拍照 context, highlight 樱花粉 and 珠光白, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 珍珠贴 finish with 几何线条, 甜美 vibe for 拍照"
ND06-006,"Premium press-on nail design, SKU ND06-006, collection Jelly Summer 果冻夏日系列, 短方 shape, 中 length, main color 薰衣草紫, secondary color 透明, technique 猫眼, detail 珍珠, 氛围感 aesthetics, for 旅行, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-006, primary package color 米白, visual language from Jelly Summer 果冻夏日系列, include hook line: '猫眼 finish with 珍珠, 氛围感 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-006. Start with macro close-up of 猫眼 detail, transition to hand movement in 旅行 context, highlight 薰衣草紫 and 透明, show packaging in 米白, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 猫眼 finish with 珍珠, 氛围感 vibe for 旅行"
ND06-007,"Premium press-on nail design, SKU ND06-007, collection Jelly Summer 果冻夏日系列, 杏仁 shape, 短 length, main color 豆沙粉, secondary color 冰蓝, technique 贝壳片, detail 爱心, 高级感 aesthetics, for 日常, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-007, primary package color 银灰, visual language from Jelly Summer 果冻夏日系列, include hook line: '贝壳片 finish with 爱心, 高级感 vibe for 日常', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-007. Start with macro close-up of 贝壳片 detail, transition to hand movement in 日常 context, highlight 豆沙粉 and 冰蓝, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 贝壳片 finish with 爱心, 高级感 vibe for 日常"
ND06-008,"Premium press-on nail design, SKU ND06-008, collection Jelly Summer 果冻夏日系列, 方圆 shape, 短 length, main color 酒红, secondary color 浅粉, technique 渐变, detail 爱心, 通勤 aesthetics, for 拍照, target user 学生, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-008, primary package color 浅紫, visual language from Jelly Summer 果冻夏日系列, include hook line: '渐变 finish with 爱心, 通勤 vibe for 拍照', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-008. Start with macro close-up of 渐变 detail, transition to hand movement in 拍照 context, highlight 酒红 and 浅粉, show packaging in 浅紫, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 爱心, 通勤 vibe for 拍照"
ND06-009,"Premium press-on nail design, SKU ND06-009, collection Jelly Summer 果冻夏日系列, 杏仁 shape, 中长 length, main color 银铬, secondary color 亮银, technique 法式描边, detail 珍珠, 通勤 aesthetics, for 旅行, target user 内容博主, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-009, primary package color 海盐蓝, visual language from Jelly Summer 果冻夏日系列, include hook line: '法式描边 finish with 珍珠, 通勤 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-009. Start with macro close-up of 法式描边 detail, transition to hand movement in 旅行 context, highlight 银铬 and 亮银, show packaging in 海盐蓝, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 法式描边 finish with 珍珠, 通勤 vibe for 旅行"
ND06-010,"Premium press-on nail design, SKU ND06-010, collection Jelly Summer 果冻夏日系列, 短方 shape, 中 length, main color 奶油白, secondary color 亮银, technique 渐变, detail 几何线条, 甜美 aesthetics, for 旅行, target user 新娘, studio beauty shot, soft diffused lighting, high detail texture, clean background, product campaign quality --ar 3:4 --v 6 --stylize 250","Luxury wearable nail packaging design for SKU ND06-010, primary package color 银灰, visual language from Jelly Summer 果冻夏日系列, include hook line: '渐变 finish with 几何线条, 甜美 vibe for 旅行', front box + inner tray + card, minimal premium typography, cosmetic retail ready, print-ready mockup, high-end material texture","Create a 10-second beauty commercial for press-on nails SKU ND06-010. Start with macro close-up of 渐变 detail, transition to hand movement in 旅行 context, highlight 奶油白 and 亮银, show packaging in 银灰, clean luxury tone, soft cinematic light, smooth camera orbit, ending with hero product frame and text: 渐变 finish with 几何线条, 甜美 vibe for 旅行"
